timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.52968E+15,2,2,12,8,7,8,-8,1
1.52968E+15,-2,2,4,-3,-8,-14,0,0
1.52968E+15,-2,2,-9,-13,-8,3,-3,-10
1.52968E+15,-1,-2,-2,0,-2,4,6,0
1.52968E+15,2,10,-22,-2,-1,-18,-7,4
1.52968E+15,1,9,21,6,0,9,10,8
1.52968E+15,5,12,10,1,-1,-8,-1,8
1.52968E+15,-4,-15,-15,-4,2,-2,-2,-2
1.52968E+15,0,-5,10,0,-2,-8,-13,-2
1.52968E+15,-2,-3,13,9,2,-8,3,-5
1.52968E+15,3,-5,-13,-7,-6,-3,5,6
1.52968E+15,0,8,5,-2,-1,-1,-8,-7
1.52968E+15,-8,-21,1,-7,-12,-17,-4,5
1.52968E+15,-4,6,-24,-2,2,-1,-2,-10
1.52968E+15,-1,-5,5,10,1,2,10,8
1.52968E+15,1,-4,-2,-7,-3,-4,2,-2
1.52968E+15,1,-5,-4,-2,-1,0,-3,-3
1.52968E+15,0,6,-7,1,-2,-6,-15,0
1.52968E+15,-5,14,7,-1,4,12,-5,-5
1.52968E+15,-6,-4,-23,-10,-2,-8,-8,-9
1.52968E+15,1,8,-5,-4,-5,-7,5,1
1.52968E+15,-1,-9,2,1,-1,-1,7,12
1.52968E+15,-3,11,11,7,3,4,-11,-25
1.52968E+15,-1,-6,-7,-2,-2,2,-3,0
1.52968E+15,-4,-9,-4,2,-1,-2,-3,-5
1.52968E+15,-1,-7,3,-3,-3,-5,-8,-3
1.52968E+15,2,9,10,1,6,-2,4,1
1.52968E+15,-7,-24,-21,-3,-2,3,21,9
1.52968E+15,-1,-2,0,0,0,-5,-2,-3
1.52968E+15,3,15,21,7,-2,-5,-21,-2
1.52968E+15,-3,-17,-10,-6,-6,-3,0,2
1.52968E+15,1,6,7,0,4,-5,-8,-5
1.52968E+15,-5,-14,10,4,2,5,-6,-5
1.52968E+15,1,1,-24,-10,-7,-11,-17,4
1.52968E+15,6,20,23,4,2,1,31,5
1.52968E+15,2,10,-7,4,4,6,-8,-2
1.52968E+15,-7,-14,-6,-6,-6,-9,-4,-11
1.52968E+15,-1,14,27,3,0,-11,-13,-2
1.52968E+15,1,-14,-2,4,3,13,10,3
1.52968E+15,-2,-7,-13,-7,-6,-15,-19,-10
1.52968E+15,5,18,12,12,6,-2,29,21
1.52968E+15,-2,-1,-15,-11,-1,15,-2,-4
1.52968E+15,-1,-8,-15,-4,0,-5,-6,-8
1.52968E+15,-2,4,21,3,-2,-3,-1,8
1.52968E+15,0,-8,-14,-10,1,6,-3,-11
1.52968E+15,3,-9,-4,2,2,-3,7,-2
1.52968E+15,-6,-16,-9,-10,-5,-9,-7,0
1.52968E+15,3,17,67,15,-5,-8,-17,2
1.52968E+15,-4,-22,-29,-10,-4,-11,-5,-8
1.52968E+15,0,-12,-8,1,1,2,-1,1
1.52968E+15,-5,22,3,-1,-3,-1,10,14
1.52968E+15,-2,0,-16,-15,1,3,-5,-12
1.52968E+15,2,-8,20,6,1,-1,-7,-6
1.52968E+15,-4,16,-34,-19,-7,-1,-10,0
1.52968E+15,-2,-28,29,8,0,13,9,0
1.52968E+15,1,8,-10,3,2,-1,4,1
1.52968E+15,-3,9,-6,-9,-5,-3,-5,0
1.52968E+15,1,-6,-5,3,1,0,0,-4
1.52968E+15,3,1,-6,1,-3,-7,-8,-2
1.52968E+15,-2,-12,-9,-4,-6,-4,15,8
1.52968E+15,2,2,0,11,8,8,-10,-9
1.52968E+15,-3,15,21,3,0,-12,2,1
1.52968E+15,-6,-10,-8,0,2,0,-26,-9
1.52968E+15,-4,-16,-37,-12,-3,3,22,7
1.52968E+15,2,10,2,3,-2,-7,3,8
1.52968E+15,0,-2,10,3,1,-3,-15,-5
1.52968E+15,-1,12,8,-8,-2,8,21,1
1.52968E+15,6,13,1,2,-2,-2,-8,-1
1.52968E+15,-6,-29,-16,-5,1,-2,-4,7
1.52968E+15,1,5,36,7,0,-3,2,-6
1.52968E+15,-3,-17,-46,-9,-5,-6,-12,-20
1.52968E+15,5,4,21,15,1,-10,-9,1
1.52968E+15,0,8,-28,-20,-2,18,22,2
1.52968E+15,0,-5,-10,0,-1,-8,-7,3
1.52968E+15,3,15,20,6,-4,-9,6,5
1.52968E+15,1,4,3,6,2,13,4,-6
